Date Created,Number of Likes,Source of Tweet,Tweet,Location,Number of Retweets,#hashtags
2022-09-22 23:33:33+00:00,2233,Twitter Web App,I'm sitting in this right now. But mine is black. (Thing carved it as a gift). https://t.co/ajGOlci9J6,,199,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ajGOlci9J6', 'expanded_url': 'https://twitter.com/DaniellePartis/status/1567478378567028738', 'display_url': 'twitter.com/DaniellePartis…', 'indices': [79, 102]}]}"
2022-09-21 17:59:04+00:00,659,Twitter Web App,Good luck navigating this teenage purgatory. You're going to need it. https://t.co/KgsH1keJWz,,30,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KgsH1keJWz', 'expanded_url': 'https://twitter.com/ThePixieEvil/status/1572641167619293185', 'display_url': 'twitter.com/ThePixieEvil/s…', 'indices': [70, 93]}]}"
2022-09-21 17:24:52+00:00,4438,Twitter Web App,"I've seen serial killer diaries with better grammar. It's ""Addams"" - two Ds. https://t.co/LgEdz29Tk7",,547,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LgEdz29Tk7', 'expanded_url': 'https://twitter.com/netflix/status/1572624192939311104', 'display_url': 'twitter.com/netflix/status…', 'indices': [77, 100]}]}"
2022-09-21 16:40:14+00:00,2608,Twitter Media Studio,"Show some school spirit. A dark, vengeful spirit. https://t.co/geD72VI4Fr https://t.co/5L5yMqOIyU",,463,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/geD72VI4Fr', 'expanded_url': 'http://www.nevermoreacademy.com', 'display_url': 'nevermoreacademy.com', 'indices': [50, 73]}], 'media': [{'id': 1572625248339755008, 'id_str': '1572625248339755008', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/media/FdMXruBacAElMe-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdMXruBacAElMe-.jpg', 'url': 'https://t.co/5L5yMqOIyU', 'display_url': 'pic.twitter.com/5L5yMqOIyU', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1572626768384921600/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 679, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1199, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1824, 'h': 1826, 'resize': 'fit'}}}]}"
2022-09-19 19:02:29+00:00,1431,Twitter Web App,This soothes me. https://t.co/NN6wFBYsuy,,116,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NN6wFBYsuy', 'expanded_url': 'https://twitter.com/EricaFails/status/1571576814597718022', 'display_url': 'twitter.com/EricaFails/sta…', 'indices': [17, 40]}]}"
2022-09-16 17:00:59+00:00,1167,Twitter Web App,Wouldn't be caught dead here if my death depended on it. https://t.co/nCOr4Ou3ck,,116,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nCOr4Ou3ck', 'expanded_url': 'https://twitter.com/NetflixGeeked/status/1570819969012867076', 'display_url': 'twitter.com/NetflixGeeked/…', 'indices': [57, 80]}]}"
2022-09-13 03:10:20+00:00,940,Twitter Web App,I don't respond to demands. I do enjoy a bit of blackmail from time to time though. #Emmys https://t.co/rtrxuRJJmM,,46,"{'hashtags': [{'text': 'Emmys', 'indices': [84, 90]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rtrxuRJJmM', 'expanded_url': 'https://twitter.com/mfer_al/status/1569508681875881984', 'display_url': 'twitter.com/mfer_al/status…', 'indices': [91, 114]}]}"
2022-09-13 02:53:17+00:00,1141,Twitter Web App,To Mr. @TedLasso on your big night. Your sunny disposition and relentless optimism are truly… disturbing. Odds are… https://t.co/O4clteLmHm,,109,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TedLasso', 'name': 'Ted Lasso', 'id': 1103518614982819840, 'id_str': '1103518614982819840', 'indices': [7, 16]}], 'urls': [{'url': 'https://t.co/O4clteLmHm', 'expanded_url': 'https://twitter.com/i/web/status/1569519557198618625', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
2022-09-13 02:18:50+00:00,706,Twitter Web App,A dead body on stage at the #Emmys. Things just got interesting. @JimmyKimmel https://t.co/8n3n9wR40p,,41,"{'hashtags': [{'text': 'Emmys', 'indices': [28, 34]}], 'symbols': [], 'user_mentions': [{'screen_name': 'jimmykimmel', 'name': 'Jimmy Kimmel', 'id': 26053643, 'id_str': '26053643', 'indices': [65, 77]}], 'urls': [{'url': 'https://t.co/8n3n9wR40p', 'expanded_url': 'https://twitter.com/wreviewpodcast/status/1569508619812745218', 'display_url': 'twitter.com/wreviewpodcast…', 'indices': [78, 101]}]}"
2022-09-13 02:07:33+00:00,5085,Twitter Web App,I applaud @Stranger_Things for giving us the Upside Down. It seems like a beautiful and tranquil place. I’d like to… https://t.co/kWZPej8YSr,,426,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Stranger_Things', 'name': 'Stranger Things', 'id': 3320478908, 'id_str': '3320478908', 'indices': [10, 26]}], 'urls': [{'url': 'https://t.co/kWZPej8YSr', 'expanded_url': 'https://twitter.com/i/web/status/1569508049890713601', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
